ug,gr,gi,gz,petroRad_i,petroR50_i,deVAB_i,fracDev_i
1.495838,1.680084,2.324183,2.718147,3.000158,1.637173,0.9028822,1.0
2.613922,1.782093,2.453844,2.785532,10.6295,1.874401,0.8428718,1.0
2.486189,1.026108,1.481688,1.793041,4.993888,1.960284,0.7912036,1.0
1.926405,0.8697357,1.345776,1.676386,3.83017,1.753275,0.3472055,0.6415531
1.466181,0.6440029,1.005385,1.254674,9.133565,3.785459,0.7906858,1.0
1.915224,0.9538116,1.380707,1.696587,3.444576,1.517023,0.7209589,1.0
1.756651,1.713604,2.332621,2.671751,3.314224,1.346655,0.7909411,1.0
1.275393,0.4395485,0.6132774,0.6768379,1.50209,0.7533953,0.05868617,0.5446484
1.944452,0.9696693,1.426643,1.762562,3.016728,1.373561,0.2533319,0.70076
1.805532,0.9866409,1.407999,1.755447,4.625372,1.953505,0.8369552,1.0
1.925854,1.707716,2.309963,2.684706,3.280569,1.486856,0.8205186,1.0
1.049913,0.3618088,0.6369362,0.7647552,3.428628,1.541488,0.4265115,0.6572316
0.9638615,0.4635468,0.7893124,0.9463978,4.477437,2.257865,0.7670248,0.0
2.045612,1.509415,2.044264,2.462067,4.113285,1.551097,0.7791256,1.0
1.563221,0.8039551,1.134481,1.47794,2.681192,1.22047,0.7945129,1.0
1.867964,0.7922258,1.182596,1.47394,5.070109,2.192824,0.3013068,0.8477697
2.03598,1.170694,1.631233,1.987347,6.788315,2.691169,0.6830438,1.0
2.173597,1.094879,1.563221,1.901405,24.11055,1.736674,0.6767205,0.9694926
1.449848,1.582109,2.438425,2.854731,3.483065,1.512824,0.619337,1.0
1.494858,1.754629,2.370602,2.513014,3.530906,1.74042,0.9999298,1.0
1.84672,1.071451,1.533583,1.903809,3.599555,1.543426,0.7677233,1.0
1.290741,0.7386856,1.184858,1.488302,6.486514,2.76012,0.6742213,0.5426351
1.664095,0.9745045,1.431337,1.800797,3.122057,1.464349,0.7063203,1.0
1.77672,0.8388138,1.233437,1.534845,4.099881,1.77455,0.8169119,1.0
1.584061,0.8402367,1.283161,1.636276,3.748824,1.676224,0.617564,0.8809359
1.793795,1.213861,1.683483,2.015278,3.161958,1.449101,0.7545608,1.0
1.217627,0.5525913,0.7646141,0.8686619,2.197554,0.9725182,0.4731807,1.0
1.852369,0.8973885,1.274197,1.640159,4.157107,1.657351,0.5583864,1.0
1.842873,0.8684101,1.251122,1.580683,3.836977,1.750987,0.5437475,0.871591
1.175081,0.5475426,0.8219261,0.9811211,5.202621,2.450354,0.4933304,0.2212127
1.219713,0.5766525,0.9130192,1.15395,4.243618,2.094545,0.9018046,0.1884327
2.057438,1.623684,2.178879,2.5711,3.753331,1.627309,0.6250414,1.0
1.957682,0.8889675,1.308249,1.633764,4.499628,2.023829,0.9186813,1.0
1.821005,0.8226547,1.237103,1.458494,3.508123,1.441902,0.6022097,1.0
1.993656,1.237766,1.692741,2.073997,5.759521,2.340969,0.867888,1.0
2.011511,1.011217,1.420183,1.740799,3.342523,1.409347,0.5691518,1.0
1.042093,0.6615944,1.038973,1.175568,4.638995,2.306001,0.742963,0.0
1.67063,0.8386192,1.200083,1.48797,3.472592,1.589023,0.6807942,0.6875895
2.093533,0.9794178,1.350176,1.68189,3.253861,1.455446,0.8485236,1.0
1.226109,0.5831108,0.8476887,1.094212,11.38296,4.881224,0.08817123,0.0
1.546749,0.8311348,1.229868,1.516356,3.341011,1.373249,0.8609939,1.0
1.384483,0.7856598,1.227783,1.526031,4.203263,1.780819,0.4778518,0.9970315
1.851887,0.8961802,1.282298,1.602569,5.486493,2.325902,0.795481,1.0
1.804399,0.8234615,1.210707,1.514071,3.20888,1.379504,0.7207401,0.9909204
1.088049,0.4194794,0.7188435,0.8214607,3.344522,1.634856,0.6176037,0.0
2.277214,1.204729,1.684038,2.063692,2.712061,1.215142,0.6469969,1.0
1.478107,0.6283751,0.92167,1.131505,13.75497,6.658182,0.9229353,0.181522
1.086489,0.4046268,0.5899086,0.7541485,4.596116,2.152205,0.9404032,0.04134627
1.775465,0.7527723,1.13199,1.355377,24.5573,11.41579,0.6941358,0.4152173
0.4365444,-0.4826775,-0.6320744,-1.794783,2.968809,2.893463,0.5447605,1.0
3.081556,1.777859,2.413153,2.756483,4.030889,1.528322,0.7350494,1.0
3.462915,1.80574,2.454584,2.810883,2.759674,1.31973,0.6420761,1.0
1.731181,0.785924,1.157349,1.474483,6.062928,2.833976,0.5655141,0.5742799
2.151745,1.84605,2.473349,2.923954,4.856701,1.783244,0.8958173,1.0
1.333902,0.5297909,0.7645245,1.014013,6.468204,3.0004,0.8601101,0.0
1.665821,1.041691,1.47003,1.769327,3.072028,1.30843,0.8766582,1.0
1.391634,0.6653824,0.9955578,1.226891,5.461216,2.622403,0.4946288,0.0
2.01334,0.9178696,1.350546,1.731745,12.37032,0.9507433,0.517167,1.0
3.342781,1.541941,2.141718,2.501467,7.334038,2.933539,0.6851691,1.0
1.521566,0.7834816,1.162989,1.42662,12.56161,6.414597,0.6713808,0.421193
1.964153,1.866806,2.520868,2.98609,4.450366,1.929176,0.6704903,1.0
1.671035,0.717082,1.056796,1.32969,8.73315,3.289437,0.9152544,1.0
2.896881,1.707748,2.374628,2.791256,3.384455,1.422426,0.7988436,1.0
2.822668,1.681124,2.314112,2.889858,3.222214,1.303589,0.3932897,0.9405491
